VARIABLES= "X", "Y", "Z", "CP"
ZONE F=POINT, I= 129 J=  21
  0.181640E+02  0.221746E+00  0.132401E+01  0.116640E+00
  0.181294E+02  0.226330E+00  0.132652E+01  0.169921E+00
  0.180878E+02  0.232015E+00  0.132953E+01  0.213291E+00
  0.180383E+02  0.238475E+00  0.133295E+01  0.254680E+00
  0.179803E+02  0.244823E+00  0.133735E+01  0.284470E+00
  0.179133E+02  0.249919E+00  0.134236E+01  0.299824E+00
  0.178369E+02  0.253442E+00  0.134749E+01  0.304666E+00
  0.177510E+02  0.255444E+00  0.135274E+01  0.304229E+00
  0.176553E+02  0.255350E+00  0.135801E+01  0.299104E+00
  0.175501E+02  0.252590E+00  0.136320E+01  0.287925E+00
  0.174353E+02  0.246921E+00  0.136827E+01  0.270807E+00
  0.173114E+02  0.238286E+00  0.137323E+01  0.248540E+00
  0.171788E+02  0.226716E+00  0.137808E+01  0.221716E+00
  0.170380E+02  0.212301E+00  0.138284E+01  0.190570E+00
  0.168897E+02  0.195283E+00  0.138751E+01  0.155502E+00
  0.167345E+02  0.176087E+00  0.139214E+01  0.117508E+00
  0.165733E+02  0.155145E+00  0.139673E+01  0.773575E-01
  0.164068E+02  0.132909E+00  0.140128E+01  0.349785E-01
  0.162361E+02  0.109660E+00  0.140577E+01 -0.941169E-02
  0.160620E+02  0.859269E-01  0.141012E+01 -0.517284E-01
  0.158852E+02  0.619077E-01  0.141378E+01 -0.841006E-01
  0.157069E+02  0.379233E-01  0.141705E+01 -0.107809E+00
  0.155279E+02  0.142293E-01  0.141995E+01 -0.129712E+00
  0.153491E+02 -0.903511E-02  0.142248E+01 -0.151154E+00
  0.151714E+02 -0.316151E-01  0.142465E+01 -0.171975E+00
  0.149956E+02 -0.533451E-01  0.142649E+01 -0.192042E+00
  0.148225E+02 -0.740582E-01  0.142802E+01 -0.211682E+00
  0.146528E+02 -0.936031E-01  0.142925E+01 -0.231268E+00
  0.144872E+02 -0.111783E+00  0.143021E+01 -0.250345E+00
  0.143262E+02 -0.128377E+00  0.143091E+01 -0.269019E+00
  0.141703E+02 -0.143384E+00  0.143138E+01 -0.288707E+00
  0.140200E+02 -0.156629E+00  0.143164E+01 -0.310777E+00
  0.138755E+02 -0.168060E+00  0.143166E+01 -0.336016E+00
  0.137364E+02 -0.177784E+00  0.142999E+01 -0.339787E+00
  0.136035E+02 -0.185790E+00  0.142816E+01 -0.323416E+00
  0.134770E+02 -0.191974E+00  0.142622E+01 -0.311816E+00
  0.133568E+02 -0.196489E+00  0.142420E+01 -0.302795E+00
  0.132430E+02 -0.199404E+00  0.142213E+01 -0.294216E+00
  0.131354E+02 -0.200823E+00  0.142005E+01 -0.284643E+00
  0.130339E+02 -0.200879E+00  0.141797E+01 -0.274128E+00
  0.129383E+02 -0.199725E+00  0.141592E+01 -0.263244E+00
  0.128484E+02 -0.197480E+00  0.141392E+01 -0.252314E+00
  0.127638E+02 -0.194243E+00  0.141197E+01 -0.243670E+00
  0.126841E+02 -0.190124E+00  0.140989E+01 -0.228750E+00
  0.126080E+02 -0.185130E+00  0.140774E+01 -0.202540E+00
  0.125352E+02 -0.179266E+00  0.140566E+01 -0.174337E+00
  0.124658E+02 -0.172574E+00  0.140365E+01 -0.147305E+00
  0.123998E+02 -0.165064E+00  0.140173E+01 -0.120010E+00
  0.123374E+02 -0.156725E+00  0.139989E+01 -0.899486E-01
  0.122785E+02 -0.147557E+00  0.139816E+01 -0.572710E-01
  0.122231E+02 -0.137666E+00  0.139654E+01 -0.231160E-01
  0.121714E+02 -0.127002E+00  0.139504E+01  0.760172E-02
  0.121234E+02 -0.115626E+00  0.139367E+01  0.401567E-01
  0.120790E+02 -0.103414E+00  0.139242E+01  0.827633E-01
  0.120384E+02 -0.902129E-01  0.139132E+01  0.137129E+00
  0.120016E+02 -0.758745E-01  0.139037E+01  0.210007E+00
  0.119686E+02 -0.603359E-01  0.138956E+01  0.303355E+00
  0.119393E+02 -0.437049E-01  0.138890E+01  0.415055E+00
  0.119139E+02 -0.261093E-01  0.138839E+01  0.542786E+00
  0.118924E+02 -0.767775E-02  0.138802E+01  0.683787E+00
  0.118747E+02  0.114617E-01  0.138779E+01  0.831726E+00
  0.118609E+02  0.311801E-01  0.138769E+01  0.970760E+00
